Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked,Location 1
2011,North Dakota,15.9,5.9,25.3,52.9,"{'human_address': '{""address"":""North Dakota"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '47.475320000018144', 'longitude': '-100.11841999998285'}"
2011,South Dakota,15.5,7.6,25.5,51.5,"{'human_address': '{""address"":""South Dakota"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '44.353130000049646', 'longitude': '-100.37353000040906'}"
2011,Texas,12,7.2,21.8,59,"{'human_address': '{""address"":""Texas"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '31.82724000022597', 'longitude': '-99.42676999973554'}"
2011,Wyoming,17.5,5.5,26.2,50.8,"{'human_address': '{""address"":""Wyoming"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '43.23553999957147', 'longitude': '-108.10982999975454'}"
2011,Vermont,14.7,4.4,30.8,50.1,"{'human_address': '{""address"":""Vermont"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '43.625379999687425', 'longitude': '-72.51764000028561'}"
2011,New Hampshire,15.4,4.1,29.2,51.4,"{'human_address': '{""address"":""New Hampshire"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '43.65595000019255', 'longitude': '-71.50036000041354'}"
2011,Rhode Island,14.4,5.7,27.7,52.2,"{'human_address': '{""address"":""Rhode Island"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '41.70828000002217', 'longitude': '-71.5224700001902'}"
2011,Indiana,19.4,6.2,24.7,49.7,"{'human_address': '{""address"":""Indiana"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '39.76690999989677', 'longitude': '-86.14996000035359'}"
2011,District of Columbia,12.8,8,22,57.2,"{'human_address': '{""address"":""District of Columbia"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '38.89036999987576', 'longitude': '-77.03195999965413'}"
2011,Connecticut,11.8,5.3,27.8,55.1,"{'human_address': '{""address"":""Connecticut"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '41.56265999995918', 'longitude': '-72.6498400002157'}"
2011,West Virginia,23.8,4.9,23.5,47.9,"{'human_address': '{""address"":"""",""city"":""West"",""state"":""Virginia"",""zip"":""""}', 'needs_recoding': False, 'latitude': '38.66550999958696', 'longitude': '-80.71263999973604'}"
2011,Washington,12.1,5.4,26,56.5,"{'human_address': '{""address"":""Washington"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '47.522280000022135', 'longitude': '-120.47001000026114'}"
2011,Georgia,14.3,6.9,22.1,56.7,"{'human_address': '{""address"":""Georgia"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '32.83967999993223', 'longitude': '-83.62758000031658'}"
2011,New Mexico,13.5,7.9,24.9,53.6,"{'human_address': '{""address"":""New Mexico"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '34.52088000011207', 'longitude': '-106.24057999976702'}"
