"teams","homeTeam","awayTeam","homeScore","awayScore"
"NA","Stanford","California-Davis","30","10"
"NA","Syracuse","Florida State","30","7"
"NA","Maryland","Temple","14","35"
"NA","Tennessee","Texas-El Paso","24","0"
"NA","Texas","Southern California","37","14"
"NA","Texas A&M","Louisiana-Monroe","48","10"
"NA","Texas Tech","Houston","63","49"
"NA","Nebraska","Troy","19","24"
"NA","Virginia","Ohio","45","31"
"NA","Utah","Washington","7","21"
"NA","Washington State","Eastern Washington","59","24"
"NA","Temple","Tulsa","31","17"
"NA","Central Florida","Florida Atlantic","56","36"
"NA","Illinois","Penn State","24","63"
"NA","Southern California","Washington State","39","36"
"NA","Alabama","Texas A&M","45","23"
"NA","Oregon State","Arizona","14","35"
"NA","Arkansas State","Nevada-Las Vegas","27","20"
"NA","Auburn","Arkansas","34","3"
"NA","Baylor","Kansas","26","7"
"NA","Rutgers","Buffalo","13","42"
"NA","Central Michigan","Maine","17","5"
"NA","Cincinnati","Ohio","34","30"
"NA","Georgia Tech","Clemson","21","49"
"NA","Louisiana","Coastal Carolina","28","30"
"NA","Duke","North Carolina Central","55","13"
"NA","Tennessee","Florida","21","47"
"NA","Florida State","Northern Illinois","37","19"
"NA","Missouri","Georgia","29","43"
"NA","Hawaii","Duquesne","42","21"
"NA","Houston","Texas Southern","70","14"
"NA","Colorado State","Illinois State","19","35"
"NA","Iowa State","Akron","26","13"
"NA","Kentucky","Mississippi State","28","7"
"NA","Louisiana State","Louisiana Tech","38","21"
"NA","Maryland","Minnesota","42","13"
"NA","Massachusetts","Charlotte","49","31"
"NA","Memphis","South Alabama","52","35"
"NA","Miami (FL)","Florida International","31","17"
"NA","Bowling Green State","Miami (OH)","23","38"
"NA","Michigan","Nebraska","56","10"
"NA","Indiana","Michigan State","21","35"
"NA","Mississippi","Kent State","38","17"
"NA","Texas-El Paso","New Mexico State","20","27"
"NA","North Carolina","Pittsburgh","38","35"
"NA","Marshall","North Carolina State","20","37"
"NA","Wake Forest","Notre Dame","27","56"
"NA","Ohio State","Tulane","49","6"
"NA","Oklahoma","Army","28","21"
"NA","Old Dominion","Virginia Tech","49","35"
"NA","Purdue","Boston College","30","13"
"NA","San Diego State","Eastern Michigan","23","20"
"NA","Vanderbilt","South Carolina","14","37"
"NA","South Florida","East Carolina","20","13"
"NA","Southern Methodist","Navy","31","30"
"NA","Southern Mississippi","Rice","40","22"
"NA","Oregon","Stanford","31","38"
"NA","Syracuse","Connecticut","51","21"
"NA","Texas","Texas Christian","31","16"
"NA","Oklahoma State","Texas Tech","17","41"
"NA","Texas-San Antonio","Texas State","25","21"
"NA","Toledo","Nevada","63","44"
"NA","Louisiana-Monroe","Troy","27","35"
"NA","Utah State","Air Force","42","32"
"NA","Virginia","Louisville","27","3"
"NA","Washington","Arizona State","27","20"
"NA","West Virginia","Kansas State","35","6"
"NA","Ball State","Western Kentucky","20","28"
"NA","Georgia State","Western Michigan","15","34"
"NA","Iowa","Wisconsin","17","28"
"NA","Miami (FL)","North Carolina","47","10"
"NA","Colorado","UCLA","38","16"
"NA","Tulane","Memphis","40","24"
"NA","Alabama","Louisiana","56","14"
"NA","Alabama-Birmingham","Charlotte","28","7"
"NA","Appalachian State","South Alabama","52","7"
"NA","Arizona State","Oregon State","52","24"
"NA","Buffalo","Army","13","42"
"NA","Auburn","Southern Mississippi","24","13"
"NA","Ball State","Kent State","52","24"
"NA","Wyoming","Boise State","14","34"
"NA","Boston College","Temple","45","35"
"NA","Central Florida","Pittsburgh","45","14"
"NA","Connecticut","Cincinnati","7","49"
"NA","Clemson","Syracuse","27","23"
"NA","East Carolina","Old Dominion","37","35"
"NA","Mississippi State","Florida","6","13"
"NA","Florida International","Arkansas-Pine Bluff","55","9"
"NA","Louisville","Florida State","24","28"
"NA","Fresno State","Toledo","49","27"
"NA","Georgia","Tennessee","38","12"
"NA","Georgia Southern","Arkansas State","28","21"
"NA","Georgia State","Louisiana-Monroe","46","14"
"NA","Georgia Tech","Bowling Green State","63","17"
"NA","San Jose State","Hawaii","41","44"
"NA","Rutgers","Indiana","17","24"
"NA","Kentucky","South Carolina","24","10"
"NA","Louisiana State","Mississippi","45","16"
"NA","North Texas","Louisiana Tech","27","29"
"NA","Western Kentucky","Marshall","17","20"
"NA","Northwestern","Michigan","17","20"
"NA","Michigan State","Central Michigan","31","20"
"NA","Middle Tennessee State","Florida Atlantic","25","24"
"NA","Air Force","Nevada","25","28"
"NA","North Carolina State","Virginia","35","21"
"NA","Eastern Michigan","Northern Illinois","23","26"
"NA","Notre Dame","Stanford","38","17"
"NA","Ohio","Massachusetts","58","42"
"NA","Penn State","Ohio State","26","27"
"NA","Oklahoma","Baylor","66","33"
"NA","Kansas","Oklahoma State","28","48"
"NA","California","Oregon","24","42"
"NA","Nebraska","Purdue","28","42"
"NA","Arizona","Southern California","20","24"
"NA","Southern Methodist","Houston Baptist","63","27"
"NA","Kansas State","Texas","14","19"
"NA","Texas A&M","Arkansas","24","17"
"NA","Texas Christian","Iowa State","17","14"
"NA","Texas-San Antonio","Texas-El Paso","30","21"
"NA","Troy","Coastal Carolina","45","21"
"NA","Vanderbilt","Tennessee State","31","27"
"NA","Duke","Virginia Tech","14","31"
"NA","Wake Forest","Rice","56","24"
"NA","Washington","Brigham Young","35","7"
"NA","Washington State","Utah","28","24"
"NA","Texas Tech","West Virginia","34","42"
"NA","Miami (OH)","Western Michigan","39","40"
"NA","Houston","Tulsa","41","26"
"NA","Troy","Georgia State","37","20"
"NA","Louisville","Georgia Tech","31","66"
"NA","Marshall","Middle Tennessee State","24","34"
"NA","Brigham Young","Utah State","20","45"
"NA","Air Force","Navy","35","7"
"NA","Arkansas","Alabama","31","65"
"NA","Louisiana Tech","Alabama-Birmingham","7","28"
"NA","Arizona","California","24","17"
"NA","Baylor","Kansas State","37","34"
"NA","Central Michigan","Buffalo","24","34"
"NA","Central Florida","Southern Methodist","48","20"
"NA","Cincinnati","Tulane","37","21"
"NA","Wake Forest","Clemson","3","63"
"NA","Colorado","Arizona State","28","21"
"NA","San Jose State","Colorado State","30","42"
"NA","Florida","Louisiana State","27","19"
"NA","Florida Atlantic","Old Dominion","52","33"
"NA","Nevada","Fresno State","3","21"
"NA","Georgia","Vanderbilt","41","13"
"NA","Georgia Southern","South Alabama","48","13"
"NA","Hawaii","Wyoming","17","13"
"NA","Rutgers","Illinois","17","38"
"NA","Minnesota","Iowa","31","48"
"NA","Oklahoma State","Iowa State","42","48"
"NA","Texas State","Louisiana","27","42"
"NA","Memphis","Connecticut","55","14"
"NA","Miami (FL)","Florida State","28","27"
"NA","Akron","Miami (OH)","17","41"
"NA","Michigan","Maryland","42","21"
"NA","Mississippi","Louisiana-Monroe","70","21"
"NA","Mississippi State","Auburn","23","9"
"NA","Nevada-Las Vegas","New Mexico","14","50"
